Draw Date,Winning Numbers1,Winning Numbers2,Winning Numbers3,Winning Numbers4,Winning Numbers5,Winning Numbers6,Winning Numbers7,Winning Numbers8,Winning Numbers9,Winning Numbers10,Winning Numbers11,Winning Numbers12,Winning Numbers13,Winning Numbers14,Winning Numbers15,Winning Numbers16,Winning Numbers17,Winning Numbers18,Winning Numbers19,Winning Numbers20
3/27/24,04,10,13,14,17,25,27,28,29,35,54,55,57,61,64,66,67,68,73,76
3/26/24,15,17,18,23,24,32,37,41,42,46,48,53,56,57,67,68,70,76,77,80
3/25/24,06,11,14,16,18,19,35,37,43,48,51,55,58,62,63,66,69,71,75,77
3/24/24,03,06,07,09,10,14,20,24,36,38,41,53,57,61,64,69,71,72,76,80
3/23/24,13,15,22,23,38,39,42,48,49,51,55,57,63,64,66,70,72,77,78,79
3/22/24,05,07,09,13,19,23,25,26,32,34,35,40,43,46,52,65,68,71,75,76
3/21/24,10,23,26,32,37,38,41,47,50,51,52,54,56,58,64,66,67,71,73,75
3/20/24,04,07,08,11,14,15,24,30,33,46,47,56,62,64,66,72,73,75,79,80
3/19/24,08,18,26,27,30,34,36,38,40,45,50,55,56,57,63,64,65,68,77,80
3/18/24,02,06,10,17,21,25,29,32,33,34,35,43,52,55,56,62,65,71,76,79
3/17/24,08,13,16,22,26,27,29,31,36,37,40,47,53,55,58,59,65,69,70,75
3/16/24,01,07,11,12,23,27,28,29,31,33,36,37,43,48,50,52,53,58,61,78
3/15/24,04,07,08,13,19,22,27,30,36,42,50,51,56,61,63,66,68,69,76,80
3/14/24,07,08,12,17,20,22,23,26,27,32,43,50,57,60,62,63,75,77,78,80
3/13/24,01,05,07,08,14,27,33,35,36,38,44,45,48,49,58,64,66,75,76,77
3/12/24,05,06,08,10,12,14,19,20,21,26,33,35,40,46,47,51,55,56,67,69
3/11/24,02,06,11,13,16,17,23,29,35,36,39,43,45,61,62,64,67,71,73,79
3/10/24,04,09,13,14,16,19,31,33,36,43,44,51,55,59,61,62,69,70,75,78
3/9/24,02,06,08,13,18,27,29,33,34,36,40,42,46,59,62,69,70,71,73,74
3/8/24,01,02,04,07,12,23,25,34,36,39,42,44,47,48,53,57,66,69,74,77
3/7/24,01,02,04,13,15,17,19,25,28,32,36,38,42,47,51,57,69,70,76,78
3/6/24,03,04,05,10,11,20,22,32,36,41,44,46,48,49,56,58,63,65,66,78
3/5/24,10,12,22,25,28,30,32,33,34,39,40,47,49,51,53,54,58,65,69,71
3/4/24,05,09,17,18,21,28,29,32,33,37,39,51,52,55,60,63,66,71,75,80
3/3/24,02,04,07,09,18,19,20,25,28,35,39,47,50,55,58,60,64,66,69,73
3/2/24,02,03,05,07,17,28,29,32,36,38,42,43,44,62,65,66,71,72,74,78
3/1/24,01,04,08,11,18,20,21,22,23,28,33,35,39,41,44,45,50,56,58,73
2/29/24,01,05,13,14,16,23,24,26,29,37,43,46,56,57,59,63,64,70,72,78
2/28/24,01,03,07,11,16,22,30,31,32,34,43,45,49,50,60,61,66,68,69,75
2/27/24,03,10,13,19,24,37,40,41,42,44,47,51,53,54,60,68,72,75,77,80
2/26/24,02,04,09,14,16,17,19,28,32,35,39,40,43,45,55,56,60,64,71,77
2/25/24,01,04,11,13,16,20,24,38,39,44,52,53,59,65,66,67,70,72,74,75
2/24/24,02,03,06,08,28,32,33,34,43,46,53,54,55,56,62,63,64,67,76,80
2/23/24,10,11,14,15,19,20,29,31,32,33,36,39,51,59,61,65,69,74,75,79
2/22/24,04,07,16,30,44,46,50,53,55,57,58,59,60,61,70,71,72,73,76,78
2/21/24,01,02,04,06,09,12,13,15,24,32,38,40,42,45,46,51,58,59,62,74
2/20/24,06,10,14,25,27,30,31,32,35,42,46,49,50,51,53,57,61,68,75,76
2/19/24,02,03,11,12,16,19,20,21,33,36,37,43,45,51,53,58,67,70,74,76
2/18/24,02,07,10,11,17,19,32,34,46,49,52,54,57,58,62,64,66,69,71,74
2/17/24,04,07,12,21,24,28,29,33,34,35,49,50,55,58,64,72,74,75,77,80
2/16/24,07,15,17,21,22,23,24,30,31,35,36,37,39,47,48,51,52,59,62,70
2/15/24,01,02,04,08,13,14,25,34,38,41,45,47,50,55,62,63,64,69,71,77
2/14/24,01,05,10,15,21,29,30,38,39,41,43,44,46,47,49,57,66,67,68,75
2/13/24,09,10,19,20,26,27,29,31,32,36,44,48,51,52,55,59,61,69,74,75
2/12/24,01,08,11,24,28,36,37,38,42,43,44,48,49,55,56,61,63,65,70,76
2/11/24,01,06,16,30,34,35,40,41,44,47,51,52,62,64,66,68,73,74,75,77
2/10/24,02,06,08,09,19,25,29,37,38,45,49,53,55,57,63,67,72,75,76,77
2/9/24,08,10,15,22,23,24,26,27,37,44,46,50,56,58,69,72,73,74,75,76
2/8/24,01,02,03,04,06,10,19,21,22,26,30,33,48,49,50,52,56,75,76,78
2/7/24,03,06,14,19,28,29,30,31,33,34,39,42,51,54,59,69,72,74,76,80
2/6/24,05,11,14,16,18,21,26,39,41,44,46,50,51,55,58,62,63,64,75,79
2/5/24,03,05,06,23,26,28,34,38,39,40,44,47,49,50,57,58,59,73,75,76
2/4/24,01,02,03,04,12,16,25,33,34,51,56,58,60,63,66,70,73,75,78,80
2/3/24,04,05,06,13,14,19,21,23,24,27,37,39,42,43,44,50,51,60,66,69
2/2/24,02,09,10,15,20,24,25,29,31,34,40,50,53,59,67,68,71,76,77,80
2/1/24,01,07,14,16,18,19,32,40,43,50,55,56,60,64,67,68,70,72,78,80
1/31/24,05,16,17,20,21,32,33,35,36,42,45,49,55,56,60,67,69,70,73,74
1/30/24,05,07,15,18,23,31,32,35,41,46,50,60,61,65,71,73,75,76,77,79
1/29/24,06,12,14,17,21,23,26,27,31,32,33,47,51,52,55,59,62,72,73,75
1/28/24,02,03,04,06,09,28,30,33,38,39,44,51,53,56,64,66,72,74,75,76
1/27/24,02,16,17,20,32,34,39,44,45,49,50,58,64,65,69,71,74,76,77,80
1/26/24,08,10,12,14,21,23,30,33,36,38,46,52,53,56,59,60,61,75,77,79
1/25/24,03,08,18,23,32,38,42,43,49,50,51,52,53,55,57,60,63,65,69,70
1/24/24,03,12,13,21,30,34,36,41,43,50,52,53,59,63,65,66,67,69,76,78
1/23/24,02,06,07,09,16,19,23,26,30,37,38,40,41,43,49,63,66,67,71,79
1/22/24,03,06,07,16,17,18,22,30,32,33,43,44,51,53,59,63,64,70,71,78
1/21/24,02,03,11,20,24,29,31,32,34,53,54,60,61,63,64,65,66,72,78,80
1/20/24,03,09,10,17,23,28,29,30,31,37,50,52,54,57,59,62,65,72,75,79
1/19/24,03,04,05,07,08,13,14,18,30,33,36,42,45,46,51,57,62,69,70,74
1/18/24,05,06,07,10,15,24,26,27,38,43,45,48,50,53,56,57,58,62,68,72
1/17/24,04,05,12,13,15,16,19,20,25,29,32,36,38,40,41,46,64,71,73,76
1/16/24,08,15,18,19,20,22,25,27,29,30,32,35,36,42,58,65,66,67,73,79
1/15/24,09,15,17,19,22,24,25,28,39,43,47,51,52,60,63,66,67,71,72,77
1/14/24,05,08,14,16,18,20,36,41,48,56,60,62,63,69,70,71,72,73,74,75
1/13/24,01,08,19,21,28,32,38,39,44,45,48,52,53,57,61,64,70,74,75,76
1/12/24,04,08,09,14,15,16,17,24,27,32,33,39,43,45,48,59,61,63,65,66
1/11/24,01,09,14,15,27,34,37,44,50,51,52,56,60,61,64,65,68,69,76,79
1/10/24,07,09,10,15,16,25,26,27,29,33,34,36,56,60,61,63,64,67,69,74
1/9/24,02,08,14,15,18,22,28,30,31,42,44,45,52,56,68,71,72,74,75,78
1/8/24,05,12,14,17,30,34,35,39,41,42,43,45,50,57,61,64,65,67,69,77
1/7/24,02,03,06,09,16,18,20,21,30,32,33,42,45,50,54,56,65,66,67,78
1/6/24,05,11,17,29,32,33,44,55,59,60,62,63,64,65,66,67,71,72,76,77
1/5/24,02,04,07,09,15,20,25,31,37,39,41,46,55,57,58,59,63,70,72,74
1/4/24,03,07,09,16,23,30,36,37,38,42,43,46,51,56,69,70,72,76,77,79
1/3/24,04,06,12,13,18,19,28,32,39,42,50,55,56,64,66,67,70,73,79,80
1/2/24,01,02,04,13,16,20,22,31,36,38,39,42,45,47,48,54,57,60,76,78
1/1/24,02,06,12,14,19,30,35,41,47,48,49,50,55,57,59,67,69,75,76,80
12/31/23,02,06,08,10,24,36,37,39,40,41,45,50,53,54,65,68,70,74,75,77
12/30/23,04,08,14,16,31,35,36,38,47,49,53,54,55,65,66,68,69,72,77,80
12/29/23,01,02,06,13,15,27,36,39,42,44,45,49,55,59,62,65,70,72,73,79
12/28/23,03,10,14,19,24,25,27,29,31,34,35,37,39,45,51,60,62,68,71,73
12/27/23,01,02,04,19,21,23,25,26,34,42,47,49,51,52,62,69,71,72,75,77
12/26/23,04,08,13,15,19,24,27,28,30,33,37,41,44,45,55,56,61,64,68,70
12/25/23,13,18,24,29,35,39,40,41,45,46,49,53,54,57,60,65,67,68,71,74
12/24/23,03,10,15,18,19,24,27,28,33,34,36,43,44,46,56,70,73,75,76,77
12/23/23,01,03,05,09,13,16,17,25,28,32,39,49,50,59,62,68,71,74,75,79
12/22/23,06,08,09,14,19,23,26,32,36,43,46,49,50,53,64,68,69,74,75,78
12/21/23,07,09,14,15,29,31,32,34,40,43,44,45,50,53,54,60,64,65,72,74
12/20/23,01,09,12,15,24,27,34,35,36,54,55,57,59,63,64,70,71,72,79,80
12/19/23,01,02,07,20,21,25,26,30,36,37,38,40,43,45,49,63,65,66,76,77
12/18/23,05,10,11,15,23,33,34,38,48,49,50,51,52,57,58,60,61,62,65,76
12/17/23,02,14,17,18,27,28,29,33,35,41,44,45,52,57,58,62,65,71,76,77
12/16/23,08,13,14,15,28,29,35,37,38,40,44,51,59,60,64,65,68,70,75,77
12/15/23,04,05,14,16,23,25,26,34,35,37,43,47,48,49,52,53,57,60,61,76
12/14/23,05,06,14,16,22,26,28,31,33,35,46,52,57,63,64,65,69,75,77,79
12/13/23,09,14,15,24,26,29,30,32,40,44,52,53,54,55,59,62,64,70,73,76
12/12/23,01,09,10,11,12,15,27,37,38,39,41,45,49,62,65,69,71,72,75,79
12/11/23,09,23,24,27,28,33,34,35,36,39,43,53,59,62,67,71,72,75,76,79
12/10/23,03,05,07,11,27,28,34,41,44,48,50,51,53,59,60,63,64,67,74,75
12/9/23,06,08,12,16,31,33,38,39,44,47,48,55,58,62,63,65,69,71,76,78
12/8/23,02,03,13,24,29,32,33,37,42,45,50,53,55,56,58,62,69,70,72,80
12/7/23,05,17,23,24,25,31,34,37,39,40,42,51,57,65,68,70,73,77,79,80
12/6/23,02,13,14,15,18,20,23,24,25,29,33,34,35,37,40,41,45,65,73,76
12/5/23,01,02,07,09,14,21,27,29,30,37,40,41,48,49,52,54,56,66,71,80
12/4/23,02,03,07,08,10,15,27,35,37,42,46,47,48,49,58,60,63,64,69,76
12/3/23,05,11,22,23,29,30,33,34,44,45,50,51,57,59,60,62,63,73,75,79
12/2/23,02,03,10,20,23,33,35,37,41,43,46,48,52,55,58,70,74,76,77,80
12/1/23,04,08,11,18,20,26,30,32,33,34,35,43,47,48,52,53,60,67,75,79
11/30/23,02,03,06,07,17,18,23,26,27,35,37,39,42,52,55,59,61,64,69,79
11/29/23,01,06,07,11,12,13,16,17,31,34,36,37,52,56,59,60,62,76,79,80
11/28/23,01,10,14,20,23,27,29,30,38,45,47,51,55,56,58,61,63,64,68,79
11/27/23,02,05,07,09,10,12,16,17,18,26,30,32,36,50,59,65,68,74,75,76
11/26/23,01,04,06,10,17,19,23,26,29,35,41,44,46,51,54,62,68,70,71,80
11/25/23,05,08,13,15,17,20,21,23,29,30,31,32,48,49,51,65,67,73,75,79
11/24/23,01,06,07,13,15,27,28,30,42,47,48,50,66,67,69,70,75,77,78,80
11/23/23,01,05,06,14,15,16,21,25,35,40,45,47,50,56,57,60,62,65,70,76
11/22/23,06,12,14,20,24,27,29,42,46,47,49,50,56,63,67,68,69,71,78,79
11/21/23,07,09,12,14,19,20,21,27,29,30,31,34,40,41,47,48,49,54,60,63
11/20/23,03,06,13,20,22,34,35,38,45,47,49,51,53,55,56,57,58,60,67,76
11/19/23,03,05,08,10,11,19,22,31,33,35,37,52,55,57,62,68,71,76,77,78
11/18/23,07,12,15,19,21,26,27,29,30,45,49,52,56,61,62,65,70,72,77,78
11/17/23,04,05,10,13,15,16,23,25,28,32,37,41,44,50,58,61,62,66,71,75
11/16/23,02,08,17,18,23,25,29,40,48,54,56,58,59,62,63,64,65,66,73,80
11/15/23,05,09,17,23,24,25,26,27,30,32,38,46,57,60,70,72,75,76,79,80
11/14/23,14,15,20,22,25,29,36,38,44,48,51,54,64,68,71,72,73,76,77,80
11/13/23,12,16,18,19,22,25,28,30,35,38,42,43,45,55,68,72,74,78,79,80
11/12/23,02,12,15,17,19,20,21,26,27,34,38,42,46,48,53,64,72,73,74,79
11/11/23,02,08,10,28,31,32,34,39,41,43,44,47,48,52,54,57,67,72,77,78
11/10/23,04,15,19,22,27,31,32,34,35,37,42,52,57,58,59,64,69,77,78,80
11/9/23,01,03,05,10,12,14,18,24,27,29,36,45,60,61,63,67,69,77,78,80
11/8/23,04,14,16,25,28,29,34,36,39,43,48,49,51,52,54,59,62,63,67,80
11/7/23,01,04,08,11,14,15,20,23,28,35,43,44,47,50,57,62,72,76,78,80
11/6/23,04,08,16,20,33,38,39,41,44,51,53,54,58,59,62,66,68,69,78,79
11/5/23,05,06,08,14,19,26,27,35,47,50,53,57,62,65,71,73,74,76,78,79
11/4/23,04,10,17,20,23,25,28,34,39,48,51,54,55,66,67,68,70,71,72,74
11/3/23,07,08,09,15,23,25,27,37,45,46,50,51,57,61,63,71,72,76,77,79
11/2/23,04,11,16,21,28,30,35,39,41,42,43,45,52,56,61,63,68,70,77,78
11/1/23,05,07,12,15,18,26,27,30,31,32,36,38,39,47,48,53,59,73,74,80
10/31/23,04,05,09,16,18,24,27,31,33,42,45,47,50,51,56,57,71,74,77,79
10/30/23,01,04,05,06,12,13,15,16,20,23,27,30,32,39,41,43,47,61,72,73
10/29/23,06,07,10,15,22,25,28,29,30,32,34,44,46,50,52,56,57,59,75,78
10/28/23,09,20,24,26,30,32,33,34,42,50,54,55,56,70,74,75,76,77,78,79
10/27/23,01,04,06,09,15,18,21,23,30,32,34,37,50,54,58,65,70,71,76,78
10/26/23,01,13,14,20,22,26,28,29,32,36,39,40,42,43,58,66,68,69,70,78
10/25/23,05,10,11,15,16,18,27,31,33,35,40,47,48,51,58,59,60,62,70,76
10/24/23,01,07,09,10,14,17,18,21,24,26,27,32,34,35,49,50,52,56,63,70
10/23/23,02,10,13,16,19,26,28,39,45,46,49,51,52,56,57,61,63,67,79,80
10/22/23,01,09,18,21,22,24,28,34,37,39,40,55,64,66,68,71,73,76,77,80
10/21/23,06,11,13,14,15,19,20,28,32,37,42,45,46,47,54,56,61,62,67,76
10/20/23,01,03,04,06,10,21,23,25,31,40,42,44,52,53,62,63,64,68,74,80
10/19/23,02,17,18,19,22,27,28,29,30,35,37,46,47,48,49,50,51,63,71,75
10/18/23,15,17,21,26,28,29,31,34,38,39,43,45,53,61,67,69,72,76,77,78
10/17/23,01,11,13,17,22,28,33,36,39,42,46,48,50,58,60,64,65,66,76,79
10/16/23,03,04,05,11,13,20,22,23,33,38,41,52,54,56,59,65,66,67,73,80
10/15/23,04,08,11,12,20,24,30,33,36,39,40,43,46,48,58,67,68,69,75,77
10/13/23,01,03,05,14,17,18,19,22,34,41,43,44,47,49,50,57,62,71,79,80
10/12/23,02,03,16,19,22,23,24,25,28,33,41,44,46,48,50,53,60,66,72,75
10/11/23,03,05,06,09,17,18,28,45,48,50,51,52,60,61,64,67,71,76,77,78
10/10/23,04,07,14,16,17,18,19,23,27,32,36,37,40,46,50,51,63,69,71,76
10/9/23,01,08,19,31,32,33,36,37,40,42,54,58,60,66,67,70,75,77,78,80
10/8/23,08,17,18,27,35,38,40,44,45,51,52,54,55,58,61,65,66,69,73,77
10/7/23,03,05,09,15,18,26,30,32,34,41,42,46,48,52,59,67,68,74,76,78
10/6/23,01,03,15,17,19,20,22,23,24,26,27,28,29,32,45,50,64,66,67,78
10/5/23,04,10,12,30,32,33,39,41,45,47,50,53,57,63,67,69,72,77,78,80
10/4/23,03,05,07,09,12,19,28,35,40,41,44,45,53,54,55,58,66,68,73,75
10/3/23,02,04,08,11,18,19,21,22,24,29,32,39,40,43,45,53,74,75,76,80
10/2/23,03,04,07,18,19,20,21,24,34,43,47,49,57,60,66,69,73,76,77,80
10/1/23,03,05,07,09,10,15,16,19,20,23,30,35,39,40,46,47,52,55,72,79
9/30/23,01,02,05,06,09,12,17,21,32,36,38,43,46,49,51,61,63,74,75,80
9/29/23,06,10,20,23,25,26,37,42,44,46,53,57,62,63,67,68,70,77,78,80
9/28/23,01,02,04,05,07,12,13,15,17,19,22,30,31,39,41,46,47,56,62,67
9/27/23,01,02,15,17,19,26,32,36,40,49,50,52,57,59,64,68,72,73,79,80
9/26/23,03,06,08,15,17,21,24,25,33,35,50,54,55,57,59,60,63,66,67,72
9/25/23,01,04,07,10,16,17,21,22,24,33,40,41,48,52,61,69,74,75,78,79
9/24/23,02,03,08,11,14,16,31,33,36,39,41,47,52,53,62,70,71,72,73,77
9/23/23,07,14,16,23,26,34,35,40,41,42,43,49,54,58,59,63,68,69,72,79
9/22/23,05,07,08,12,16,17,19,25,27,29,32,36,52,54,57,60,61,64,66,78
9/21/23,01,03,08,14,20,24,28,31,32,49,53,55,57,64,69,70,71,72,74,78
9/20/23,01,02,06,07,11,13,19,20,28,29,31,33,45,52,58,59,63,67,74,80
9/19/23,17,18,25,27,31,33,34,35,36,38,42,45,46,51,53,55,68,69,71,80
9/18/23,07,11,12,14,19,26,27,36,41,43,44,45,46,52,55,58,59,68,72,75
9/17/23,03,05,06,09,15,17,21,22,23,25,26,28,35,39,43,46,51,58,65,71
9/16/23,05,07,14,16,17,31,35,38,39,41,52,53,56,60,63,64,70,74,76,77
9/15/23,03,04,10,21,24,25,26,27,29,30,32,34,38,44,50,61,65,66,79,80
9/14/23,05,19,25,28,29,31,33,38,43,47,48,49,54,61,66,70,71,72,75,77
9/13/23,05,07,08,13,16,17,23,33,34,35,43,45,46,47,48,66,68,72,74,78
9/12/23,01,05,12,15,16,17,22,35,42,46,48,50,59,65,67,71,72,75,76,80
9/11/23,02,03,08,11,13,17,21,22,29,35,36,40,44,52,61,62,64,67,75,77
9/10/23,02,04,13,20,21,23,26,27,32,40,53,54,57,59,65,66,68,70,76,77
9/9/23,09,11,12,15,23,34,35,36,37,43,45,47,48,58,64,68,70,72,78,79
9/8/23,03,06,11,17,18,19,25,28,30,33,34,39,40,41,46,48,53,67,73,74
9/7/23,12,17,18,19,21,22,27,33,41,43,45,51,52,54,56,58,59,67,72,74
9/6/23,04,08,09,19,26,27,29,30,33,44,51,57,60,61,62,63,64,69,74,75
9/5/23,02,04,18,26,27,28,32,42,45,47,49,51,52,53,61,65,69,72,74,79
9/4/23,04,08,24,26,28,32,33,36,37,39,42,50,52,57,58,60,65,66,67,78
9/3/23,08,12,14,15,18,20,26,28,31,41,46,47,49,50,51,55,71,75,77,80
9/2/23,01,02,05,09,12,17,19,23,25,28,35,42,43,45,47,52,53,61,70,75
9/1/23,01,05,08,09,16,18,22,24,28,34,38,55,59,60,64,65,70,72,76,77
8/31/23,08,09,13,14,22,24,26,28,29,31,34,38,41,47,48,62,72,73,75,79
8/30/23,04,06,07,10,11,17,18,27,31,33,38,42,44,51,61,62,65,68,78,80
8/29/23,06,09,16,17,20,21,24,26,28,31,36,47,50,55,61,68,74,76,79,80
8/28/23,11,12,24,28,32,35,37,41,46,48,49,50,57,61,62,66,67,71,72,74
8/27/23,03,08,11,13,17,18,23,24,25,27,29,30,35,39,66,67,73,77,78,79
8/26/23,03,06,14,16,17,29,35,39,45,47,48,49,56,58,61,64,66,74,79,80
8/25/23,01,12,13,14,26,27,28,29,35,37,39,41,47,50,60,63,66,69,78,80
8/24/23,01,03,08,14,16,21,22,25,43,44,50,52,59,60,62,65,66,71,75,79
8/23/23,01,06,09,13,14,25,27,33,37,40,45,48,50,53,55,57,59,64,76,79
8/22/23,01,07,10,11,12,14,16,17,20,21,26,38,39,44,45,56,61,64,65,80
8/21/23,05,06,07,13,17,18,22,27,40,43,45,46,51,54,63,66,67,70,75,78
8/20/23,08,12,17,18,19,21,27,29,32,33,37,41,48,49,52,53,60,64,69,70
8/19/23,08,16,18,21,24,27,31,33,35,51,52,53,61,64,66,69,73,74,77,78
8/18/23,01,06,09,22,28,34,36,39,42,45,55,57,59,60,63,66,67,71,74,79
8/17/23,03,04,05,07,10,14,17,34,37,39,43,44,45,53,55,68,72,73,75,78
8/16/23,06,08,09,10,12,16,20,21,27,41,50,55,61,63,64,69,70,73,77,79
8/15/23,02,04,09,12,13,19,21,26,28,36,46,50,52,54,60,62,64,73,76,77
8/14/23,11,12,15,17,19,27,31,33,34,35,42,46,47,55,62,64,65,69,75,77
8/13/23,04,11,14,17,23,27,30,31,33,42,43,45,47,50,55,61,67,69,77,80
8/12/23,08,09,17,23,25,33,34,35,38,41,42,48,54,56,61,62,64,67,73,80
8/11/23,02,03,07,12,13,14,17,22,23,25,29,31,34,42,53,54,67,71,72,79
8/10/23,01,02,14,16,17,18,24,27,31,33,37,44,46,59,60,62,74,75,77,80
8/9/23,03,04,05,08,14,17,23,29,34,37,38,46,48,51,53,59,61,69,71,79
8/8/23,05,06,10,11,17,20,27,29,34,41,43,45,54,55,59,60,63,66,71,78
8/7/23,04,05,08,09,10,13,15,18,19,27,32,36,38,64,68,70,73,74,77,79
8/6/23,03,10,12,17,20,21,23,26,30,31,34,38,41,42,49,55,57,66,72,78
8/5/23,02,04,05,06,17,27,29,32,35,37,40,41,42,48,53,55,58,60,66,75
8/4/23,01,02,03,05,07,10,11,14,17,24,30,35,39,49,52,57,68,73,74,77
8/3/23,05,09,10,12,15,18,19,21,29,33,35,44,49,56,57,59,72,74,78,79
8/2/23,03,08,12,16,17,24,26,28,31,33,38,48,51,53,56,59,60,67,74,75
8/1/23,05,16,22,23,24,25,26,32,39,41,43,44,45,49,50,55,59,60,67,73
7/31/23,01,02,03,09,14,19,21,26,29,31,43,48,52,53,55,62,63,67,70,71
7/30/23,01,07,16,19,24,25,27,28,31,33,38,40,44,49,53,55,56,63,67,69
7/29/23,09,11,12,20,29,30,35,39,40,41,42,43,48,50,51,61,66,71,79,80
7/28/23,01,02,03,04,11,20,28,29,30,31,38,43,45,48,49,58,65,66,73,74
7/27/23,04,06,08,10,13,15,22,23,27,32,33,36,44,50,54,56,62,63,65,66
7/26/23,01,04,08,16,17,18,27,35,36,38,45,49,51,63,68,69,71,76,78,80
7/25/23,02,06,12,13,20,21,22,27,29,35,36,37,41,47,54,56,64,68,70,73
7/24/23,04,06,08,16,19,22,33,38,43,44,47,51,58,59,60,62,71,72,75,79
7/23/23,06,10,11,12,15,21,24,33,36,39,40,41,47,52,54,58,61,71,78,80
7/22/23,04,07,17,26,27,29,30,31,35,39,43,45,46,54,58,59,62,64,67,72
7/21/23,02,15,20,25,27,29,34,36,38,40,42,48,54,61,65,72,73,74,75,78
7/20/23,05,06,08,09,13,22,23,24,29,33,34,35,39,44,52,57,60,62,72,73
7/19/23,03,06,09,16,17,20,23,27,33,36,40,43,44,46,53,56,58,62,67,74
7/18/23,02,06,08,10,18,19,32,37,41,42,48,50,54,55,61,64,65,73,75,79
7/17/23,04,05,06,08,10,14,17,19,28,33,36,39,47,49,50,63,67,68,69,78
7/16/23,09,18,21,24,25,27,28,34,38,39,41,43,44,45,46,53,54,69,75,78
7/15/23,06,08,10,13,16,20,30,33,37,39,49,55,57,61,64,69,70,71,75,77
7/14/23,05,09,11,20,23,29,31,36,42,44,46,47,57,59,61,62,64,67,70,74
7/13/23,05,09,10,14,23,24,25,32,34,49,50,52,58,60,63,65,66,72,75,77
7/12/23,05,09,11,21,24,27,36,37,41,43,49,53,54,61,67,69,72,74,76,79
7/11/23,04,06,08,09,14,19,21,22,24,29,30,31,41,49,53,56,64,66,67,72
7/10/23,01,08,09,14,20,21,24,29,31,33,38,39,40,55,56,58,60,71,72,79
7/9/23,02,13,21,25,28,29,36,37,38,40,42,47,50,52,56,59,64,68,77,78
7/8/23,02,03,06,07,09,18,22,23,27,29,33,38,39,44,51,53,56,62,63,73
7/7/23,03,06,13,14,19,21,25,26,30,31,34,35,46,57,62,69,70,75,77,80
7/6/23,01,08,13,18,20,35,40,42,43,44,46,47,52,53,56,59,67,69,76,77
7/5/23,02,04,07,08,11,14,16,19,26,28,29,32,33,36,41,42,69,73,75,76
7/4/23,02,04,05,06,10,11,16,19,31,37,40,42,44,49,56,58,65,71,76,79
7/3/23,02,09,12,21,23,24,25,27,33,35,40,41,45,46,49,61,64,68,71,73
7/2/23,02,06,08,13,28,30,33,34,39,40,43,48,51,56,57,59,69,70,74,75
7/1/23,03,05,07,18,22,23,24,26,32,33,36,40,44,46,61,64,69,71,77,79
6/30/23,02,04,06,07,08,26,30,32,38,42,47,53,55,58,60,61,65,72,74,78
6/29/23,03,06,10,11,17,21,23,28,38,39,44,52,57,64,70,73,75,76,77,80
